parent_id,parent_analysis,analysis_id,analysis_family,role,scripts,primary_outputs,display_items,model_or_test,diagnostics_or_qc,diagnostics_done,goodness_of_fit_done,diagnostic_outcome,remaining_gap,manuscript_use,script_paths_checked,missing_scripts,missing_primary_outputs
P1,"Data, design, and environment",data_integrity,Cleaned data and experimental design,support,code/01_load_clean_metadata.R; code/18_data_validation.R; code/diagnostics/H_spreadsheet_coverage.R,output/tables/01_metadata_summary.csv; output/tables/18_validation_summary.csv; output/diagnostics/H_coverage_by_source.csv,none,"Data validation, ID checks, tank-treatment checks, and spreadsheet coverage","Sample-size checks, factor-level checks, orphan-ID checks, tank assignment checks, duplicate checks",yes,not applicable,Data validation: HANDLED=3; INFO=8; PASS=39,No model fit here; keep this as the first stop-gate before biological interpretation.,"Use as provenance and design QC, not as biological inference.",code/01_load_clean_metadata.R; code/18_data_validation.R; code/diagnostics/H_spreadsheet_coverage.R,none,none
P1,"Data, design, and environment",temperature_context,"Apex logger, YSI, and heat-treatment context",support,code/08_apex_temperature.R; code/09_ysi_water_chem.R; code/36_molly_followup_checks.R,output/tables/36_molly_temperature_coverage_days0_16.csv,figures/08_apex_temperature.pdf; figures/08b_apex_temperature_full.pdf; figures/09_ysi_water_chem.pdf,Descriptive environmental summaries,Coverage audit for days 0-16; tank-treatment map checks through the shared setup,yes,not applicable,Recovered Apex exports cover all eight tanks every ten minutes through Days 0-15; compiled sheet matches XML after duplicate checks. YSI coverage remains separate.,Confirm the logger clock setting before exact clock-hour exposure calculations; see the recovery provenance note.,Daily tank means differ by 3.09 C through Day 15. Post-experiment records are excluded from treatment means.,code/08_apex_temperature.R; code/09_ysi_water_chem.R; code/36_molly_followup_checks.R,none,none
P2,Whole-fragment physiology,pam_fvfm,Photosynthesis-efficiency score (PAM Fv/Fm),primary,code/02_pam_analysis.R; code/12_models.R,output/tables/02_pam_treatment_contrasts.csv; output/tables/12_anova_summary.csv; output/tables/12_emmeans_contrasts.csv,figures/02_pam_fvfm_trajectory.pdf,Linear mixed model with treatment x wound x day x source patch plus tank and coral ID random intercepts,"DHARMa residuals, convergence/singularity, influence checks, time-series AR(1)/random-slope/quadratic sensitivity, headline model comparison",yes,yes,"HANDLED=6; PASS=28; WARN=2 | 9 checks: AR(1), random-slope, nonlinear-time, and headline-effect robustness; reported heat effects unchanged","One Cook's-distance warning remains, but the heat direction check and upgraded-model comparison preserve the conclusion.",Primary whole-fragment physiology result.,code/02_pam_analysis.R; code/12_models.R,none,none
P2,Whole-fragment physiology,pam_location,Paired near-tip versus near-base photosynthesis,support,code/42_pam_location_and_score_audit.R,output/tables/42_pam_location_heat_tests.csv; output/tables/42_pam_location_diagnostics.csv; output/tables/42_pam_location_trajectory_test.csv,figures/42_pam_location_comparison.pdf; figures/42_pam_location_diagnostics.pdf,Tank-level exact label permutations; paired-difference repeated-measures LMM; correlated unequal-variance sensitivity,Complete-pair and canonical-average agreement; residual/Q-Q inspection; convergence; singularity; residual serial correlation; leave-one-tank-out; tank medians,yes,partial,"LMM converged and is not singular, but residual tails and unequal spread remain. Tank permutations give mean heat-gap p=0.20 and trajectory p=0.143; correlated model gives mean-gap p=0.204.",Only eight tanks. Do not interpret the LMM-only treatment-by-day p=0.030 as decisive; no prespecified equivalence margin. See September 22 follow-up note.,"Both sites retain the heat decline; averaging is a two-location summary, not proof of equivalence.",code/42_pam_location_and_score_audit.R,none,none
P1,"Data, design, and environment",morphology_score_review,Tip reversals and missing pigment scores,support,code/42_pam_location_and_score_audit.R,output/tables/42_morphology_fragment_review.csv; output/tables/42_morphology_missing_calls.csv,none,"Descriptive score audit, no imputation or model refit",Unique ID/day keys; all wounded-fragment tip sequences and missing calls,yes,not applicable,"Tip reversals in 116, 121, 143; 23/24 Day 9 pigment calls missing. Original observations preserved.",Field-note review pending. Separate microscope cohort cannot validate individual main-experiment scores.,Carry score uncertainty in captions and first-observation interpretation.,code/42_pam_location_and_score_audit.R,none,none
P2,Whole-fragment physiology,color_score,Color-card paling score,primary,code/03_color_card_analysis.R; code/12_models.R,output/tables/03_color_end_proportions.csv; output/tables/12_anova_summary.csv; output/tables/12b_color_clmm.csv,figures/03_color_trajectory.pdf,Linear mixed model plus ordinal cumulative-link mixed-model robustness check,"DHARMa/residual checks for the LMM, observed-vs-fitted CLMM check, influence checks, time-shape sensitivity",yes,yes,HANDLED=6; PASS=28; WARN=2 | CLMM diagnostic plot covered in Script 25 snapshot: 50/50 fitted models covered; 0 coverage gaps (new script 42 fits audited separately),Gaussian model on an ordinal scale is explicitly handled by the CLMM robustness model.,"Primary whole-fragment physiology result, with ordinal caveat disclosed.",code/03_color_card_analysis.R; code/12_models.R,none,none
P2,Whole-fragment physiology,skeletal_growth,Buoyant-weight skeletal growth,primary,code/05_buoyant_weight.R; code/12_models.R,output/tables/05_buoyant_weight_lm.csv; output/tables/05_buoyant_weight_tank_test.csv; output/tables/12_anova_summary.csv,figures/05_buoyant_weight_growth.pdf,Endpoint LM/LMM and tank-level randomization check,"Residual plots, Shapiro-Wilk, Cook's distance, tank-level randomization, model coverage",yes,yes,HANDLED=6; PASS=28; WARN=2 | Script 25 snapshot: 50/50 fitted models covered; 0 coverage gaps (new script 42 fits audited separately),"Surface area caveat remains: growth is percent skeletal mass change, not areal calcification.",Primary whole-fragment physiology result.,code/05_buoyant_weight.R; code/12_models.R,none,none
P2,Whole-fragment physiology,symbiont_density,Symbiont density,primary,code/06_symbiont_chl.R; code/12_models.R,output/tables/06_symbiont_chl_summary.csv; output/tables/12_anova_summary.csv; output/tables/12_genet_treatment_effects.csv,figures/06_symbiont_density_by_day.pdf,Linear mixed model on log symbiont density,"DHARMa residuals, outlier sensitivity, influence checks, model coverage",yes,yes,HANDLED=6; PASS=28; WARN=2 | Script 25 snapshot: 50/50 fitted models covered; 0 coverage gaps (new script 42 fits audited separately),Some residual/outlier checks are handled by top-residual sensitivity; conclusion stays the same.,Primary whole-fragment physiology result and current direct SNP-linked response.,code/06_symbiont_chl.R; code/12_models.R,none,none
P3,Wound healing and regeneration,main_morphology_states,Daily wound-healing and regeneration states,primary,code/04_physio_morphology.R; code/12_models.R; code/sensitivity/29_morphology_prob_contrasts.R,output/tables/04_morphology_trait_glmm_summaries.csv; output/tables/12c_morph_blme_anova.csv; output/tables/29_morphology_prob_contrasts.csv,figures/04_morphology_trajectories.pdf; figures/04b_morphology_trajectories_by_genet.pdf,Binomial GLMMs and weakly regularized binomial GLMMs for separated/saturated traits,"DHARMa residual screens, convergence/singularity checks, separation-aware penalized fits, probability-scale contrasts",yes,yes,HANDLED=30; PASS=57 | Script 25 snapshot: 50/50 fitted models covered; 0 coverage gaps (new script 42 fits audited separately),"Several traits saturate or separate; these are handled, and final regeneration inference leans on timing models.",Primary morphology trajectory result.,code/04_physio_morphology.R; code/12_models.R; code/sensitivity/29_morphology_prob_contrasts.R,none,none
P3,Wound healing and regeneration,morphology_timing,Time to wound-healing and regeneration milestones,primary,code/14_morphology_kaplan.R; code/diagnostics/C_cox_diagnostics.R,output/tables/14_interval_survreg.csv; output/tables/14_cox_hazard_ratios.csv; output/tables/14_cox_ph_tests.csv,figures/14_morphology_KM.pdf; figures/14b_morphology_KM_by_genet.pdf,"Interval-censored Weibull AFT models, Kaplan-Meier curves, Cox proportional-hazards checks","Cox Schoenfeld proportional-hazards tests, event-count checks, interval-censoring sensitivity",yes,yes,HANDLED=29; PASS=63 | PH checks have no failures,Some low-event subsets are handled/skipped; use overall timing models for the manuscript headline.,Primary regeneration timing result.,code/14_morphology_kaplan.R; code/diagnostics/C_cox_diagnostics.R,none,none
